ticker,dataset,local_rows,blob_rows,local_unique_dates,blob_unique_dates,local_min_date,local_max_date,blob_min_date,blob_max_date,local_only_dates,blob_only_dates,common_dates,local_only_rows,blob_only_rows,common_rows,classification,notes
SPX,detail,95986,142901,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,310,47225,95676,divergent_overlap,Datasets overlap in date coverage but differ in row content.
SPX,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
AAPL,detail,15130,21474,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,46,6390,15084,divergent_overlap,Datasets overlap in date coverage but differ in row content.
AAPL,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
BAC,detail,5161,7536,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,17,2392,5144,divergent_overlap,Datasets overlap in date coverage but differ in row content.
BAC,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
C,detail,6259,9124,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,16,2881,6243,divergent_overlap,Datasets overlap in date coverage but differ in row content.
C,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
MSFT,detail,22229,32270,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,76,10117,22153,divergent_overlap,Datasets overlap in date coverage but differ in row content.
MSFT,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
FB,detail,0,0,0,0,,,,,0,0,0,0,0,0,identical,All compared rows match exactly.
FB,count,0,0,0,0,,,,,0,0,0,0,0,0,identical,All compared rows match exactly.
GE,detail,4856,7189,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,10,2343,4846,divergent_overlap,Datasets overlap in date coverage but differ in row content.
GE,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
INTC,detail,12076,17219,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,33,5176,12043,divergent_overlap,Datasets overlap in date coverage but differ in row content.
INTC,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
CSCO,detail,5061,6981,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,12,1932,5049,divergent_overlap,Datasets overlap in date coverage but differ in row content.
CSCO,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
BABA,detail,8142,12037,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,27,3922,8115,divergent_overlap,Datasets overlap in date coverage but differ in row content.
BABA,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
WFC,detail,5105,7666,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,15,2576,5090,divergent_overlap,Datasets overlap in date coverage but differ in row content.
WFC,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
JPM,detail,8258,12132,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,35,3909,8223,divergent_overlap,Datasets overlap in date coverage but differ in row content.
JPM,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
AMD,detail,17012,24173,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,40,7201,16972,divergent_overlap,Datasets overlap in date coverage but differ in row content.
AMD,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
META,detail,27709,38391,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,82,10764,27627,divergent_overlap,Datasets overlap in date coverage but differ in row content.
META,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
F,detail,2933,4261,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,3,1331,2930,divergent_overlap,Datasets overlap in date coverage but differ in row content.
F,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
TSLA,detail,31873,46132,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,106,14365,31767,divergent_overlap,Datasets overlap in date coverage but differ in row content.
TSLA,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
GOOG,detail,16071,22349,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,755,7033,15316,divergent_overlap,Datasets overlap in date coverage but differ in row content.
GOOG,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
T,detail,4010,5808,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,12,1810,3998,divergent_overlap,Datasets overlap in date coverage but differ in row content.
T,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
XOM,detail,6879,9841,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,21,2983,6858,divergent_overlap,Datasets overlap in date coverage but differ in row content.
XOM,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
AMZN,detail,16339,23037,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,769,7467,15570,divergent_overlap,Datasets overlap in date coverage but differ in row content.
AMZN,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
MS,detail,3924,5749,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,14,1839,3910,divergent_overlap,Datasets overlap in date coverage but differ in row content.
MS,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
NVDA,detail,21270,31592,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,67,10389,21203,divergent_overlap,Datasets overlap in date coverage but differ in row content.
NVDA,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
AIG,detail,1275,1729,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,1,455,1274,divergent_overlap,Datasets overlap in date coverage but differ in row content.
AIG,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
GM,detail,3477,4989,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,7,1519,3470,divergent_overlap,Datasets overlap in date coverage but differ in row content.
GM,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
DIS,detail,5073,7180,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,11,2118,5062,divergent_overlap,Datasets overlap in date coverage but differ in row content.
DIS,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
BA,detail,9168,12915,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,33,3780,9135,divergent_overlap,Datasets overlap in date coverage but differ in row content.
BA,count,17,25,17,25,26Jan2026,19Feb2026,26Jan2026,03Mar2026,0,8,17,0,8,17,local_subset_of_blob,Local backup is a strict subset of Blob data.
